	tissue	cell_type_major	cell_type_minor	cell_type_subset	exp	markers
18	Immune	T cell	T cell CD4+	T cell (Treg)	pos	CD3D,CD3E,CD3G,CD4,CD5,CTLA4,ENTPD1,FOXP3,IKZF2,IL10,IL2RA,ITGAE,IZUMO1R,LAG3,LAP3,LGALS1,LRRC32,NRP1,NT5E,SELL,STAT5A,STAT5B,TGFB1,TGFB2,TGFB3,TNFRSF4,TNFRSF18
19	Immune	T cell	T cell CD4+	T cell (Treg)	neg	CD14,CD19,CD8A,CD8B
20	Immune	T cell	T cell CD4+	T cell (Treg)	sec	IL10,LGALS1,TGFB1,TGFB2,TGFB3,EBI3,IL12A
21	Immune	T cell	T cell CD4+	T cell (Naive)	pos	CD3D,CD3E,CD3G,CD4,CCR7,SELL,IL7R,LEF1
22	Immune	T cell	T cell CD4+	T cell (Naive)	neg	CD14,CD19,CD8A,CD8B,CD69,IL2RA,KLRG1
23	Immune	T cell	T cell CD8+	T cell (Cytotoxic)	pos	CD3D,CD3E,CD3G,CD8A,CD8B,GZMB,GZMK,ZNF683,IFNG,LAG3,ZFP36
24	Immune	T cell	T cell CD8+	T cell (Cytotoxic)	neg	CD14,CD19,CD4
26	Immune	T cell	ILC	ILC1	pos	IL2RA,PTPRC,ITGA1,CD69,IL2RB,IL7R,KLRB1,CXCR3,ICOS,IL1R1,IL12RB2,NCR1,TBX21
27	Immune	T cell	ILC	ILC1	neg	PTGDR2,IL17RB,IL23R,NCAM1,NCR2,IL1RL1,EOMES
28	Immune	T cell	ILC	ILC1	sec	IFNG,TNF,IL2,LTA
29	Immune	T cell	ILC	ILC2	pos	IL2RA,PTPRC,THY1,IL7R,KLRB1,PTGDR2,ICOS,IL1R1,IL17RB,KLRG1,ATXN1,IL1RL1,CRLF2,GATA3
30	Immune	T cell	ILC	ILC2	neg	CD4,FCER1A,IL12RB2,NCR2,NCR1
31	Immune	T cell	ILC	ILC2	sec	AREG,IL4,IL5,IL9,IL13
32	Immune	T cell	ILC	ILC3 (NCR+)	pos	CCR6,IL2RA,PTPRC,THY1,IL7R,IL1R1,IL23R,NCR2,NCR1,ATXN1,RORC,AHR
33	Immune	T cell	ILC	ILC3 (NCR+)	neg	CD4,CD8A,CD8B
34	Immune	T cell	ILC	ILC3 (NCR+)	sec	CSF2,IL22,LTA,LTB,TNF
35	Immune	T cell	ILC	ILC3 (NCR-)	pos	CCR6,IL2RA,PTPRC,THY1,IL7R,IL1R1,IL23R,RORC,AHR,TBX21
36	Immune	T cell	ILC	ILC3 (NCR-)	neg	NCAM1,NCR2,NCR1,ATXN1
37	Immune	T cell	ILC	ILC3 (NCR-)	sec	CSF2,IL17A,LTA,LTB
38	Immune	T cell	ILC	LTI	pos	CCR6,CCR7,CD7,IL2RA,CD44,PTPRC,THY1,IL7R,KLRB1,CXCR5,CXCR6,IL1R1,IL2RG,IL23A,ITGA4,ITGB7,RORC
39	Immune	T cell	ILC	LTI	neg	CD4,IL12RB2,NCR1,NCR2
40	Immune	T cell	ILC	LTI	sec	IL17A,IL22,LTA,LTB,TNF
41	Immune	T cell	NK cell	NK cell	pos	NCAM1,KLRD1,IL2RB,FCGR3A,KIR3DX1,KIR3DL1,KIR3DL2,KIR3DL3,KLRC1,KLRK1,NCR3,NCR2,NCR1,KLRF1,TBX21,EOMES
42	Immune	T cell	NK cell	NK cell	neg	CD3D,CD3E,CD3G,IL7R
43	Immune	T cell	NK cell	NK cell	sec	GZMB,IFNG,PRF1
44	Immune	T cell	ILC	ILCreg	pos	IL2RA,PTPRC,THY1,IL2RB,IL7R,ATXN1,TGFBR1,TGFBR2,ID3,SOX4
45	Immune	T cell	ILC	ILCreg	neg	CD4,KLRG1,NCR1,IL1RL1
